;FNFNUM;TAXON;TAXAUTHOR;GENUS;SPECIES;SUBSPECIES;VARIETY;FORMA;CULTIVAR;SPAUT;SPSAUT;SPVAUT;SPFAUT;CULTAUT;FAMILY;SPCMT;PLCO;TAXNO;VALIDTAXNO;GRINVERIFY;USEAGE;USERID;CREATED;MODIFIED
1532;762;Plantago ovata;FORSSK.;Plantago;ovata;;;;;FORSSK.;;;;;Plantaginaceae;;558001008.0;28790.0;28790.0;;G;DUKE;10-DEC-97;15-JUL-05
1540;1434;Plectranthus amboinicus;(LOUR.) SPRENGEL;Plectranthus;amboinicus;;;;;(LOUR.) SPRENGEL;;;;;Lamiaceae;Coleus amboinicus is a synonym;;317147.0;317147.0;;M;DUKE;10-DEC-97;15-JUL-05
1545;1325;Pluchea carolinensis;(JACQ.) G. DON;Pluchea;carolinensis;;;;;(JACQ.) G. DON;;;;;Asteraceae;;;447626.0;447626.0;;;DUKE;10-DEC-97;15-JUL-05
1546;765;Plumeria acutifolia;POIR.;Plumeria;acutifolia;;;;;POIR.;;;;;Apocynaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1547;1787;Plumeria obtusa;;Plumeria;obtusa;;;;;;;;;;Apocynaceae;;;28883.0;28883.0;;M;DUKE;10-DEC-97;15-JUL-05
1552;767;Pogostemon cablin;(BLANCO) BENTH.;Pogostemon;cablin;;;;;(BLANCO) BENTH.;;;;;Lamiaceae;;538128001.0;29154.0;29154.0;;M;DUKE;10-DEC-97;15-JUL-05
1553;768;Polianthes tuberosa;L.;Polianthes;tuberosa;;;;;L.;;;;;Agavaceae;;80052001.0;29184.0;29184.0;;M;DUKE;10-DEC-97;15-JUL-05
1555;769;Polygala senega;L.;Polygala;senega;;;;;L.;;;;;Polygalaceae;;;29219.0;29219.0;;M;DUKE;10-DEC-97;15-JUL-05
1557;771;Polygonum aviculare;L.;Polygonum;aviculare;;;;;L.;;;;;Polygonaceae;;149018002.0;29238.0;29238.0;;M;DUKE;10-DEC-97;15-JUL-05
1559;773;Polygonum hydropiper;L.;Polygonum;hydropiper;;;;;L.;;;;;Polygonaceae;;;316795.0;316795.0;;M;DUKE;10-DEC-97;15-JUL-05
1562;1788;Polygonum plebeium;;Polygonum;plebeium;;;;;;;;;;Polygonaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1563;776;Polymnia edulis;WEDDELL;Polymnia;edulis;;;;;WEDDELL;;;;;Asteraceae;;;;;;G;DUKE;10-DEC-97;15-JUL-05
1564;777;Polypodium aureum;L.;Polypodium;aureum;;;;;L.;;;;;Polypodiaceae;;18005.0;;;;M;DUKE;10-DEC-97;15-JUL-05
1567;1789;Pongamia pinnata;;Pongamia;pinnata;;;;;;;;;;Fabaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1572;783;Portulaca oleracea;L.;Portulaca;oleracea;;;;;L.;;;;;Portulacaceae;;;29453.0;29453.0;;F;DUKE;10-DEC-97;15-JUL-05
1576;1253;Pouteria campechiana;BAEHNI;Pouteria;campechiana;;;;;BAEHNI;;;;;Sapotaceae;;;102607.0;102607.0;;;DUKE;10-DEC-97;15-JUL-05
1579;1623;Premna integrifolia;;Premna;integrifolia;;;;;;;;;;Lamiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1580;785;Prosopis juliflora;(SW.) DC.;Prosopis;juliflora;;;;;(SW.) DC.;;;;;Fabaceae;;;313263.0;313263.0;;G;DUKE;10-DEC-97;15-JUL-05
1583;2160;Prunus africana;(HOOK. F.) KALKM.;Prunus;africana;;;;;(HOOK. F.) KALKM.;;;;;Rosaceae;Pygeum africanum is a synonym;;29828.0;29828.0;;M;DUKE;10-DEC-97;15-JUL-05
1584;787;Prunus armeniaca;L.;Prunus;armeniaca;;;;;L.;;;;;Rosaceae;;274078001.0;29841.0;29841.0;;F;DUKE;10-DEC-97;15-JUL-05
1588;790;Prunus dulcis;(MILLER) D. A. WEBB;Prunus;dulcis;;;;;(MILLER) D. A. WEBB;;;;;Rosaceae;;274078007.0;29890.0;29890.0;;F;DUKE;10-DEC-97;15-JUL-05
1594;792;Prunus persica;(L.) BATSCH;Prunus;persica;;;;;(L.) BATSCH;;;;;Rosaceae;;274078010.0;30065.0;30065.0;;F;DUKE;10-DEC-97;15-JUL-05
1597;794;Prunus spinosa;L.;Prunus;spinosa;;;;;L.;;;;;Rosaceae;;;30116.0;30116.0;;F;DUKE;10-DEC-97;15-JUL-05
1604;795;Psidium cattleianum;SABINE;Psidium;cattleianum;;;;;SABINE;;;;;Myrtaceae;;453007001.0;30200.0;30200.0;;F;DUKE;10-DEC-97;15-JUL-05
1605;796;Psidium guajava;L.;Psidium;guajava;;;;;L.;;;;;Myrtaceae;;;30205.0;30205.0;;F;DUKE;10-DEC-97;15-JUL-05
1606;797;Psophocarpus tetragonolobus;(L.) DC.;Psophocarpus;tetragonolobus;;;;;(L.) DC.;;;;;Fabaceae;;283480001.0;30222.0;30222.0;;F;DUKE;10-DEC-97;15-JUL-05
1607;798;Psoralea corylifolia;L.;Psoralea;corylifolia;;;;;L.;;;;;Fabaceae;Synonym of Cullen corylifolium (L.) Medik.;283269007.0;;;;M;DUKE;10-DEC-97;15-JUL-05
1609;1625;Psychotria adenophylla;;Psychotria;adenophylla;;;;;;;;;;Rubiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1610;800;Pteridium aquilinum;(L.) KUHN;Pteridium;aquilinum;;;;;(L.) KUHN;;;;;Dennstaedtiaceae;;;312948.0;312948.0;;M;DUKE;10-DEC-97;15-JUL-05
1611;801;Pterocarpus marsupium;ROXB.;Pterocarpus;marsupium;;;;;ROXB.;;;;;Fabaceae;;283394009.0;30289.0;30289.0;;M;DUKE;10-DEC-97;15-JUL-05
1612;802;Pterocarpus santalinus;L. f.;Pterocarpus;santalinus;;;;;L. f.;;;;;Fabaceae;;283394002.0;30293.0;30293.0;;M;DUKE;10-DEC-97;15-JUL-05
1613;1626;Pterospermum acerifolium;;Pterospermum;acerifolium;;;;;;;;;;Sterculiaceae;;;312952.0;312952.0;;M;DUKE;10-DEC-97;15-JUL-05
1615;1628;Pterospermum suberifolium;;Pterospermum;suberifolium;;;;;;;;;;Sterculiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1616;1629;Pterospermum xylocarpum;;Pterospermum;xylocarpum;;;;;;;;;;Sterculiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1619;1937;Pueraria montana;(LOUR.) MERR.;Pueraria;montana;;;;;(LOUR.) MERR.;;;;;Fabaceae;;;30355.0;30355.0;;M;DUKE;10-DEC-97;15-JUL-05
1620;1938;Pueraria phaseoloides;(ROXB.) BENTH.;Pueraria;phaseoloides;;;;;(ROXB.) BENTH.;;;;;Fabaceae;;;30357.0;30357.0;;M;DUKE;10-DEC-97;15-JUL-05
1621;805;Pueraria pseudohirsuta;TANG & WANG;Pueraria;pseudohirsuta;;;;;TANG & WANG;;;;;Fabaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1623;807;Punica granatum;L.;Punica;granatum;;;;;L.;;;;;Punicaceae;;;30372.0;30372.0;;F;DUKE;10-DEC-97;15-JUL-05
1645;826;Pyrus communis;L.;Pyrus;communis;;;;;L.;;;;;Rosaceae;;274023001.0;30474.0;30474.0;;F;DUKE;10-DEC-97;15-JUL-05
1647;827;Quassia amara;L.;Quassia;amara;;;;;L.;;;;;Simaroubaceae;;;30632.0;30632.0;;M;DUKE;10-DEC-97;15-JUL-05
1648;828;Quercus alba;L.;Quercus;alba;;;;;L.;;;;;Fagaceae;;;316805.0;316805.0;;M;DUKE;10-DEC-97;15-JUL-05
1651;829;Quercus infectoria;OLIV.;Quercus;infectoria;;;;;OLIV.;;;;;Fagaceae;;;30697.0;30697.0;;M;DUKE;10-DEC-97;15-JUL-05
1654;831;Quercus robur;L.;Quercus;robur;;;;;L.;;;;;Fagaceae;;;30739.0;30739.0;;M;DUKE;10-DEC-97;15-JUL-05
1660;837;Quisqualis indica;L.;Quisqualis;indica;;;;;L.;;;;;Combretaceae;;451005001.0;30779.0;30779.0;;M;DUKE;10-DEC-97;15-JUL-05
1663;839;Raphanus sativus;L.;Raphanus;sativus;;;;;L.;;;;;Brassicaceae;;226088001.0;30857.0;30857.0;;F;DUKE;10-DEC-97;15-JUL-05
1664;840;Rauvolfia serpentina;(L.) BENTH. ex KURZ;Rauvolfia;serpentina;;;;;(L.) BENTH. ex KURZ;;;;;Apocynaceae;;513071001.0;30895.0;30895.0;;M;DUKE;10-DEC-97;15-JUL-05
1665;841;Rauvolfia tetraphylla;L.;Rauvolfia;tetraphylla;;;;;L.;;;;;Apocynaceae;;513071003.0;30896.0;30896.0;;M;DUKE;10-DEC-97;15-JUL-05
1666;842;Rauvolfia vomitoria;AFZEL.;Rauvolfia;vomitoria;;;;;AFZEL.;;;;;Apocynaceae;;;30897.0;30897.0;;M;DUKE;10-DEC-97;15-JUL-05
1667;843;Rehmannia glutinosa;(GAERTN.) LIBOSCH.;Rehmannia;glutinosa;;;;;(GAERTN.) LIBOSCH.;;;;;Scrophulariaceae;;;30911.0;30911.0;;M;DUKE;10-DEC-97;15-JUL-05
1670;845;Rheum officinale;BAILLON;Rheum;officinale;;;;;BAILLON;;;;;Polygonaceae;;149014001.0;31117.0;31117.0;;M;DUKE;10-DEC-97;15-JUL-05
1671;846;Rheum palmatum;L.;Rheum;palmatum;;;;;L.;;;;;Polygonaceae;;149014002.0;31118.0;31118.0;;M;DUKE;10-DEC-97;15-JUL-05
1673;848;Rhizophora mangle;L.;Rhizophora;mangle;;;;;L.;;;;;Rhizophoraceae;;449004001.0;105382.0;105382.0;;M;DUKE;10-DEC-97;15-JUL-05
1674;1636;Rhizophora mucronata;;Rhizophora;mucronata;;;;;;;;;;Rhizophoraceae;;;31152.0;31152.0;;M;DUKE;10-DEC-97;15-JUL-05
1676;1185;Rhododendron arboreum;SM.;Rhododendron;arboreum;;;;;SM.;;;;;Ericaceae;;;477.0;477.0;;;DUKE;10-DEC-97;15-JUL-05
1678;850;Rhododendron ferrugineum;L.;Rhododendron;ferrugineum;;;;;L.;;;;;Ericaceae;;;5110.0;5110.0;;M;DUKE;10-DEC-97;15-JUL-05
1681;851;Rhododendron molle;(BL.) G.DON;Rhododendron;molle;;;;;(BL.) G.DON;;;;;Ericaceae;;;31461.0;31461.0;;M;DUKE;10-DEC-97;15-JUL-05
1684;1640;Rhodomyrtus tomentosa;;Rhodomyrtus;tomentosa;;;;;;;;;;Myrtaceae;;;31664.0;31664.0;;M;DUKE;10-DEC-97;15-JUL-05
1686;1327;Rhoeo spathacea;(SW.) STEARN;Rhoeo;spathacea;;;;;(SW.) STEARN;;;;;Commelinaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
1689;855;Rhus glabra;L.;Rhus;glabra;;;;;L.;;;;;Anacardiaceae;;;31689.0;31689.0;;M;DUKE;10-DEC-97;15-JUL-05
1692;1939;Rhynchosia acuminatifolia;;Rhynchosia;acuminatifolia;;;;;;;;;;Fabaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1696;857;Rhynchosia minima;DC.;Rhynchosia;minima;;;;;DC.;;;;;Fabaceae;;;31750.0;31750.0;;M;DUKE;10-DEC-97;15-JUL-05
1699;1945;Rhynchosia volubilis;LOUR.;Rhynchosia;volubilis;;;;;LOUR.;;;;;Fabaceae;;;31763.0;31763.0;;M;DUKE;10-DEC-97;15-JUL-05
1703;861;Ricinus communis;L.;Ricinus;communis;;;;;L.;;;;;Euphorbiaceae;;;31896.0;31896.0;;M;DUKE;10-DEC-97;15-JUL-05
1706;1258;Rollinia mucosa;BAILL.;Rollinia;mucosa;;;;;BAILL.;;;;;Annonaceae;;;32035.0;32035.0;;;DUKE;10-DEC-97;15-JUL-05
1708;865;Rosa canina;L.;Rosa;canina;;;;;L.;;;;;Rosaceae;;;5309.0;5309.0;;G;DUKE;10-DEC-97;15-JUL-05
1710;867;Rosa damascena;MILLER;Rosa;damascena;;;;;MILLER;;;;;Rosaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1714;870;Rosa multiflora;THUNB. ex MURRAY;Rosa;multiflora;;;;;THUNB. ex MURRAY;;;;;Rosaceae;;;32108.0;32108.0;;M;DUKE;10-DEC-97;15-JUL-05
1718;873;Rosmarinus officinalis;L.;Rosmarinus;officinalis;;;;;L.;;;;;Lamiaceae;;538010001.0;32207.0;32207.0;;G;DUKE;10-DEC-97;15-JUL-05
1723;1643;Roylea elegans;;Roylea;elegans;;;;;;;;;;Lamiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1724;874;Rubia cordifolia;L.;Rubia;cordifolia;;;;;L.;;;;;Rubiaceae;;;32241.0;32241.0;;M;DUKE;10-DEC-97;15-JUL-05
1727;877;Rubus fruticosus;;Rubus;fruticosus;;;;;;;;;;Rosaceae;;274036006.0;;;;F;DUKE;10-DEC-97;15-JUL-05
1728;878;Rubus idaeus;L.;Rubus;idaeus;;;;;L.;;;;;Rosaceae;;;32348.0;32348.0;;F;DUKE;10-DEC-97;15-JUL-05
1729;1328;Ruellia tuberosa;L.;Ruellia;tuberosa;;;;;L.;;;;;Acanthaceae;;;32511.0;32511.0;;;DUKE;10-DEC-97;15-JUL-05
1730;879;Rumex acetosa;L.;Rumex;acetosa;;;;;L.;;;;;Polygonaceae;;149012011.0;32518.0;32518.0;;F;DUKE;10-DEC-97;15-JUL-05
1731;880;Rumex acetosella;L.;Rumex;acetosella;;;;;L.;;;;;Polygonaceae;;149012001.0;32519.0;32519.0;;M;DUKE;10-DEC-97;15-JUL-05
1732;881;Rumex crispus;L.;Rumex;crispus;;;;;L.;;;;;Polygonaceae;;;32530.0;32530.0;;M;DUKE;10-DEC-97;15-JUL-05
1735;884;Ruta graveolens;L.;Ruta;graveolens;;;;;L.;;;;;Rutaceae;;302027001.0;32578.0;32578.0;;G;DUKE;10-DEC-97;15-JUL-05
1748;888;Salvia officinalis;L.;Salvia;officinalis;;;;;L.;;;;;Lamiaceae;;538081002.0;32950.0;32950.0;;F;DUKE;10-DEC-97;15-JUL-05
1751;2034;Salvia splendens;;Salvia;splendens;;;;;;;;;;Lamiaceae;;;70596.0;70596.0;;M;DUKE;10-DEC-97;15-JUL-05
1754;892;Sambucus nigra;L.;Sambucus;nigra;;;;;L.;;;;;Adoxaceae;Also placed in families Sambucaceae and Adoxaceae;;32994.0;32994.0;;F;DUKE;10-DEC-97;15-JUL-05
1756;1282;Sambucus simpsonii;REHDER;Sambucus;simpsonii;;;;;REHDER;;;;;Caprifoliaceae;;;;;;G;DUKE;10-DEC-97;15-JUL-05
1760;896;Sansevieria trifasciata;PRAIN;Sansevieria;trifasciata;;;;;PRAIN;;;;;Agavaceae;;73169001.0;33072.0;33072.0;;M;DUKE;10-DEC-97;15-JUL-05
1761;897;Santalum album;L.;Santalum;album;;;;;L.;;;;;Santalaceae;;134015001.0;33075.0;33075.0;;M;DUKE;10-DEC-97;15-JUL-05
1771;903;Satureja hortensis;L.;Satureja;hortensis;;;;;L.;;;;;Lamiaceae;;538096001.0;33176.0;33176.0;;F;DUKE;10-DEC-97;15-JUL-05
1779;906;Saussurea lappa;C. B. CLARKE;Saussurea;lappa;;;;;C. B. CLARKE;;;;;Asteraceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1780;1329;Sauvagesia erecta;L.;Sauvagesia;erecta;;;;;L.;;;;;Ochnaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
1783;1802;Schefflera venulosa;;Schefflera;venulosa;;;;;;;;;;Araliaceae;;;70648.0;70648.0;;M;DUKE;10-DEC-97;15-JUL-05
1784;907;Schinus molle;L.;Schinus;molle;;;;;L.;;;;;Anacardiaceae;;338040001.0;70668.0;70668.0;;M;DUKE;10-DEC-97;15-JUL-05
1786;909;Schisandra chinensis;(TURCZ.) BAILL.;Schisandra;chinensis;;;;;(TURCZ.) BAILL.;;;;;Schisandraceae;;;70678.0;70678.0;;M;DUKE;10-DEC-97;15-JUL-05
1788;1649;Schleichera oleosa;;Schleichera;oleosa;;;;;;;;;;Sapindaceae;;;33252.0;33252.0;;M;DUKE;10-DEC-97;15-JUL-05
1792;1651;Scirpus tuberosus;;Scirpus;tuberosus;;;;;;;;;;Cyperaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1794;1804;Scoparia dulcis;;Scoparia;dulcis;;;;;;;;;;Scrophulariaceae;;;33402.0;33402.0;;M;DUKE;10-DEC-97;15-JUL-05
1797;915;Scutellaria baicalensis;GEORGI;Scutellaria;baicalensis;;;;;GEORGI;;;;;Lamiaceae;;;33424.0;33424.0;;M;DUKE;10-DEC-97;15-JUL-05
1799;917;Scutellaria discolor;COLEBR.;Scutellaria;discolor;;;;;COLEBR.;;;;;Lamiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1807;921;Sechium edule;(JACQ.) SW.;Sechium;edule;;;;;(JACQ.) SW.;;;;;Cucurbitaceae;;;33453.0;33453.0;;F;DUKE;10-DEC-97;15-JUL-05
1811;924;Senna alata;(L.) ROXB.;Senna;alata;;;;;(L.) ROXB.;;;;;Fabaceae;;;100063.0;100063.0;;M;DUKE;10-DEC-97;15-JUL-05
1812;1330;Senna alexandrina;P. MILLER;Senna;alexandrina;;;;;P. MILLER;;;;;Fabaceae;Cassia senna is a synonym;;100067.0;100067.0;;;DUKE;10-DEC-97;15-JUL-05
1814;925;Senna obtusifolia;(L.) H.IRWIN & BARNEBY;Senna;obtusifolia;;;;;(L.) H.IRWIN & BARNEBY;;;;;Fabaceae;;;100044.0;100044.0;;M;DUKE;10-DEC-97;15-JUL-05
1815;926;Senna occidentalis;(L.) H. IRWIN & BARNEBY;Senna;occidentalis;;;;;(L.) H. IRWIN & BARNEBY;;;;;Fabaceae;;;100059.0;100059.0;;M;DUKE;10-DEC-97;15-JUL-05
1816;927;Serenoa repens;(W. BARTRAM) SMALL;Serenoa;repens;;;;;(W. BARTRAM) SMALL;;;;;Arecaceae;;;103108.0;103108.0;;M;DUKE;10-DEC-97;15-JUL-05
1817;928;Sesamum indicum;L.;Sesamum;indicum;;;;;L.;;;;;Pedaliaceae;Synonyms: Sesamum mulayanum N. C. Nair, Sesamum orientale L.;;33749.0;33749.0;;F;DUKE;10-DEC-97;15-JUL-05
1826;1661;Shorea zeylanica;;Shorea;zeylanica;;;;;;;;;;Dipterocarpaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1828;929;Sida rhombifolia;L.;Sida;rhombifolia;;;;;L.;;;;;Malvaceae;;;33900.0;33900.0;;M;DUKE;10-DEC-97;15-JUL-05
1836;930;Siegesbeckia orientalis;L.;Siegesbeckia;orientalis;;;;;L.;;;;;Asteraceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1837;931;Silybum marianum;(L.) GAERTN.;Silybum;marianum;;;;;(L.) GAERTN.;;;;;Asteraceae;;580735001.0;33952.0;33952.0;;G;DUKE;10-DEC-97;15-JUL-05
1843;932;Simarouba amara;AUBL.;Simarouba;amara;;;;;AUBL.;;;;;Simaroubaceae;;;33956.0;33956.0;;M;DUKE;10-DEC-97;15-JUL-05
1846;935;Sinapis alba;L.;Sinapis;alba;;;;;L.;;;;;Brassicaceae;;226083001.0;33963.0;33963.0;;F;DUKE;10-DEC-97;15-JUL-05
1850;937;Smilax china;L.;Smilax;china;;;;;L.;;;;;Smilacaceae;;;34517.0;34517.0;;M;DUKE;10-DEC-97;15-JUL-05
1853;1806;Solanum aviculare;;Solanum;aviculare;;;;;;;;;;Solanaceae;;;100820.0;100820.0;;M;DUKE;10-DEC-97;15-JUL-05
1855;940;Solanum dulcamara;L.;Solanum;dulcamara;;;;;L.;;;;;Solanaceae;;540031018.0;101313.0;101313.0;;M;DUKE;10-DEC-97;15-JUL-05
1856;1807;Solanum laciniatum;;Solanum;laciniatum;;;;;;;;;;Solanaceae;;;101514.0;101514.0;;M;DUKE;10-DEC-97;15-JUL-05
1857;941;Solanum mammosum;L.;Solanum;mammosum;;;;;L.;;;;;Solanaceae;;540031041.0;101356.0;101356.0;;M;DUKE;10-DEC-97;15-JUL-05
1858;942;Solanum melongena;L.;Solanum;melongena;;;;;L.;;;;;Solanaceae;;540031011.0;101312.0;101312.0;;F;DUKE;10-DEC-97;15-JUL-05
1859;943;Solanum nigrum;L.;Solanum;nigrum;;;;;L.;;;;;Solanaceae;;540031013.0;310124.0;310124.0;;M;DUKE;10-DEC-97;15-JUL-05
1862;944;Solanum torvum;SW.;Solanum;torvum;;;;;SW.;;;;;Solanaceae;;;101441.0;101441.0;;M;DUKE;10-DEC-97;15-JUL-05
